"No.","Time","Source","Destination","Protocol","Length","Info"
"24","1.229124853","35.155.106.192","192.168.1.4","TLSv1.2","105","Application Data"
"25","1.229311632","192.168.1.4","35.155.106.192","TLSv1.2","105","Application Data"
"26","1.276364535","192.168.1.4","172.64.155.119","TCP","66","46802  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=374979942 TSecr=942845923"
"27","1.303385911","172.64.155.119","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  46802 [ACK] Seq=1 Ack=2 Win=8 Len=0 TSval=942892017 TSecr=374703740"
"28","1.638723042","35.155.106.192","192.168.1.4","TCP","66","443  >  55210 [ACK] Seq=40 Ack=40 Win=442 Len=0 TSval=3308058493 TSecr=3408199915"
"29","1.842818547","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.37? Tell 192.168.1.1"
"30","1.842882316","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.37? Tell 192.168.1.1"
"31","1.843137913","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.38? Tell 192.168.1.1"
"32","1.843197144","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.38? Tell 192.168.1.1"
"33","1.843444105","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.39? Tell 192.168.1.1"
"34","1.843538381","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.39? Tell 192.168.1.1"
"35","1.843779091","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.40? Tell 192.168.1.1"
"36","1.843898253","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.40? Tell 192.168.1.1"
"37","1.844116992","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.41? Tell 192.168.1.1"
"38","1.844175541","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.41? Tell 192.168.1.1"
"39","2.589247043","192.168.1.4","200.21.200.10","DNS","95","Standard query 0x712d A optimizationguide-pa.googleapis.com"
"40","2.589297136","192.168.1.4","200.21.200.10","DNS","95","Standard query 0x2331 AAAA optimizationguide-pa.googleapis.com"
"41","2.604793103","200.21.200.10","192.168.1.4","DNS","239","Standard query response 0x712d A optimizationguide-pa.googleapis.com A 142.250.78.74 A 142.250.78.106 A 142.250.78.138 A 142.250.78.170 A 142.250.78.10 A 142.250.78.42 A 172.217.28.106 A 172.217.30.202 A 172.217.173.42"
"42","2.604793523","200.21.200.10","192.168.1.4","DNS","207","Standard query response 0x2331 AAAA optimizationguide-pa.googleapis.com AAAA 2800:3f0:4005:40a::200a AAAA 2800:3f0:4005:40b::200a AAAA 2800:3f0:4005:40c::200a AAAA 2800:3f0:4005:401::200a"
"43","2.605555817","192.168.1.4","142.250.78.74","QUIC","1292","Initial, DCID=f49dd96607ad7e11, PKN: 1, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PING, PADDING, PING"
"44","2.605670692","192.168.1.4","142.250.78.74","QUIC","120","0-RTT, DCID=f49dd96607ad7e11"
"45","2.641852579","142.250.78.74","192.168.1.4","QUIC","1292","Initial, SCID=f49dd96607ad7e11, PKN: 1, ACK, PADDING"
"46","2.686513234","142.250.78.74","192.168.1.4","QUIC","1292","Protected Payload (KP0)"
"47","2.686513845","142.250.78.74","192.168.1.4","QUIC","858","Protected Payload (KP0)"
"48","2.686513915","142.250.78.74","192.168.1.4","QUIC","232","Protected Payload (KP0)"
"49","2.686513985","142.250.78.74","192.168.1.4","QUIC","66","Protected Payload (KP0)"
"50","2.687318337","192.168.1.4","142.250.78.74","QUIC","121","Handshake, DCID=f49dd96607ad7e11"
"51","2.687432040","192.168.1.4","142.250.78.74","QUIC","73","Protected Payload (KP0), DCID=f49dd96607ad7e11"
"52","2.687725338","192.168.1.4","142.250.78.74","QUIC","842","Protected Payload (KP0), DCID=f49dd96607ad7e11"
"53","2.699850367","142.250.78.74","192.168.1.4","QUIC","162","Protected Payload (KP0)"
"54","2.699850808","142.250.78.74","192.168.1.4","QUIC","71","Protected Payload (KP0)"
"55","2.700122415","192.168.1.4","142.250.78.74","QUIC","74","Protected Payload (KP0), DCID=f49dd96607ad7e11"
"56","2.781317044","142.250.78.74","192.168.1.4","QUIC","620","Protected Payload (KP0)"
"57","2.781317465","142.250.78.74","192.168.1.4","QUIC","266","Protected Payload (KP0)"
"58","2.781636621","192.168.1.4","142.250.78.74","QUIC","77","Protected Payload (KP0), DCID=f49dd96607ad7e11"
"59","2.807586455","192.168.1.4","142.250.78.74","QUIC","74","Protected Payload (KP0), DCID=f49dd96607ad7e11"
"60","2.818200100","142.250.78.74","192.168.1.4","QUIC","66","Protected Payload (KP0)"
"61","2.866900361","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.42? Tell 192.168.1.1"
"62","2.866942159","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.42? Tell 192.168.1.1"
"63","2.867032207","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.43? Tell 192.168.1.1"
"64","2.867472610","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.43? Tell 192.168.1.1"
"65","2.867473021","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.44? Tell 192.168.1.1"
"66","2.867553381","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.44? Tell 192.168.1.1"
"67","2.868000666","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.45? Tell 192.168.1.1"
"68","2.868008311","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.45? Tell 192.168.1.1"
"69","2.868053946","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.46? Tell 192.168.1.1"
"70","2.868225907","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.46? Tell 192.168.1.1"
"71","2.982986286","192.168.1.4","104.18.130.236","TCP","66","56508  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2510555398 TSecr=14484025"
"72","3.060048316","104.18.130.236","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  56508 [ACK] Seq=1 Ack=2 Win=8 Len=0 TSval=14530109 TSecr=2510280683"
"73","4.095958690","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.47? Tell 192.168.1.1"
"74","4.096069768","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.48? Tell 192.168.1.1"
"75","4.096117006","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.48? Tell 192.168.1.1"
"76","4.096223635","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.49? Tell 192.168.1.1"
"77","4.097222721","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.51? Tell 192.168.1.1"
"78","4.097223282","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.51? Tell 192.168.1.1"
"79","4.097827180","192.16.58.25","192.168.1.4","TLSv1.2","90","Application Data"
"80","4.097827741","192.16.58.25","192.168.1.4","TCP","66","443  >  48240 [FIN, ACK] Seq=25 Ack=1 Win=136 Len=0 TSval=639842928 TSecr=1440980289"
"81","4.139743358","192.168.1.4","192.16.58.25","TCP","66","48240  >  443 [ACK] Seq=1 Ack=26 Win=501 Len=0 TSval=1441038504 TSecr=639842928"
"82","4.527041886","192.168.1.4","2.19.172.25","TLSv1.2","825","Application Data"
"83","4.529130758","192.168.1.4","2.19.172.25","TLSv1.2","105","Application Data"
"84","4.619944495","2.19.172.25","192.168.1.4","TCP","66","443  >  47932 [ACK] Seq=1 Ack=760 Win=501 Len=0 TSval=1978440209 TSecr=1543295241"
"85","4.623743251","2.19.172.25","192.168.1.4","TCP","66","443  >  47932 [ACK] Seq=1 Ack=799 Win=501 Len=0 TSval=1978440213 TSecr=1543295243"
"86","4.623743652","2.19.172.25","192.168.1.4","TLSv1.2","105","Application Data"
"87","4.666190871","192.168.1.4","2.19.172.25","TCP","66","47932  >  443 [ACK] Seq=799 Ack=40 Win=501 Len=0 TSval=1543295380 TSecr=1978440214"
"88","4.691695142","192.168.1.4","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"89","4.692812059","192.168.1.4","104.18.130.236","TCP","66","59288  >  443 [ACK] Seq=1 Ack=1 Win=1121 Len=0 TSval=2510557108 TSecr=1431514070"
"90","4.761979170","104.18.130.236","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  59288 [ACK] Seq=1 Ack=2 Win=8 Len=0 TSval=1431560154 TSecr=2510281381"
"91","4.775291137","2.19.172.25","192.168.1.4","TLSv1.2","521","Application Data"
"92","4.775328516","192.168.1.4","2.19.172.25","TCP","66","47932  >  443 [ACK] Seq=799 Ack=495 Win=501 Len=0 TSval=1543295489 TSecr=1978440365"
"93","4.775291467","2.19.172.25","192.168.1.4","TLSv1.2","140","Application Data"
"94","4.775346430","192.168.1.4","2.19.172.25","TCP","66","47932  >  443 [ACK] Seq=799 Ack=569 Win=501 Len=0 TSval=1543295489 TSecr=1978440365"
"95","4.776587378","192.168.1.4","2.19.172.25","TLSv1.2","101","Application Data"
"96","4.786519150","152.199.2.76","192.168.1.4","TLSv1.2","123","Application Data"
"97","4.786549136","192.168.1.4","152.199.2.76","TCP","66","43160  >  443 [ACK] Seq=1 Ack=58 Win=568 Len=0 TSval=126851493 TSecr=1234657857"
"98","4.786519521","152.199.2.76","192.168.1.4","TLSv1.2","90","Application Data"
"99","4.786566849","192.168.1.4","152.199.2.76","TCP","66","43160  >  443 [ACK] Seq=1 Ack=82 Win=568 Len=0 TSval=126851493 TSecr=1234657857"
"100","4.786519581","152.199.2.76","192.168.1.4","TCP","66","443  >  43160 [FIN, ACK] Seq=82 Ack=1 Win=141 Len=0 TSval=1234657857 TSecr=126791821"
"101","4.786698906","192.168.1.4","152.199.2.76","TCP","66","43160  >  443 [FIN, ACK] Seq=1 Ack=83 Win=568 Len=0 TSval=126851494 TSecr=1234657857"
"102","4.858047202","152.199.2.76","192.168.1.4","TCP","66","[TCP Dup ACK 96#1] 443  >  43160 [ACK] Seq=83 Ack=1 Win=141 Len=0 TSval=1234657929 TSecr=126851493"
"103","4.858047763","152.199.2.76","192.168.1.4","TCP","66","443  >  43160 [ACK] Seq=83 Ack=2 Win=141 Len=0 TSval=1234657929 TSecr=126851494"
"104","4.867726692","2.19.172.25","192.168.1.4","TCP","66","443  >  47932 [ACK] Seq=569 Ack=834 Win=501 Len=0 TSval=1978440457 TSecr=1543295490"
"105","5.119857403","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.52? Tell 192.168.1.1"
"106","5.119905392","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.52? Tell 192.168.1.1"
"107","5.119905483","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.53? Tell 192.168.1.1"
"108","5.120130964","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.53? Tell 192.168.1.1"
"109","5.120227594","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.54? Tell 192.168.1.1"
"110","5.120498881","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.54? Tell 192.168.1.1"
"111","5.120554595","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.55? Tell 192.168.1.1"
"112","5.121045332","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.55? Tell 192.168.1.1"
"113","5.121045863","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.56? Tell 192.168.1.1"
"114","5.121153213","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.56? Tell 192.168.1.1"
"115","5.692174197","192.168.1.4","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"116","5.939862979","192.16.58.25","192.168.1.4","TLSv1.2","90","Application Data"
"117","5.939912622","192.168.1.4","192.16.58.25","TCP","66","48250  >  443 [ACK] Seq=1 Ack=25 Win=1041 Len=0 TSval=1441040304 TSecr=3795600678"
"118","5.939863580","192.16.58.25","192.168.1.4","TCP","66","443  >  48250 [FIN, ACK] Seq=25 Ack=1 Win=136 Len=0 TSval=3795600678 TSecr=1440980706"
"119","5.983079585","192.168.1.4","192.16.58.25","TCP","66","48250  >  443 [ACK] Seq=1 Ack=26 Win=1041 Len=0 TSval=1441040347 TSecr=3795600678"
"120","6.143930507","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.58? Tell 192.168.1.1"
"121","6.144650261","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.59? Tell 192.168.1.1"
"122","6.144650832","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.59? Tell 192.168.1.1"
"123","6.144727446","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.60? Tell 192.168.1.1"
"124","6.144727536","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.60? Tell 192.168.1.1"
"125","6.145315765","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.61? Tell 192.168.1.1"
"126","6.145316326","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.61? Tell 192.168.1.1"
"127","6.293375072","192.168.1.4","142.250.78.4","QUIC","1292","Initial, DCID=09158bcdd421ce5e, PKN: 1, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PING, PING, PADDING, PING, PING, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO"
"128","6.296082670","192.168.1.4","142.250.78.4","QUIC","119","0-RTT, DCID=09158bcdd421ce5e"
"129","6.296389713","192.168.1.4","142.250.78.4","QUIC","1288","0-RTT, DCID=09158bcdd421ce5e"
"130","6.296404571","192.168.1.4","142.250.78.4","QUIC","579","0-RTT, DCID=09158bcdd421ce5e"
"131","6.328674490","192.168.1.4","142.250.78.4","QUIC","1292","Initial, DCID=09158bcdd421ce5e, PKN: 6, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PADDING, PING"
"132","6.337752557","142.250.78.4","192.168.1.4","QUIC","1292","Initial, SCID=e9158bcdd421ce5e, PKN: 1, ACK, PADDING"
"133","6.340144826","142.250.78.4","192.168.1.4","QUIC","1292","Initial, SCID=e9158bcdd421ce5e, PKN: 2, ACK, PADDING"
"134","6.343734811","35.155.106.192","192.168.1.4","TLSv1.2","105","Application Data"
"135","6.343876767","192.168.1.4","35.155.106.192","TLSv1.2","105","Application Data"
"136","6.373842521","192.168.1.4","142.250.78.4","QUIC","141","0-RTT, DCID=e9158bcdd421ce5e"
"137","6.380834532","142.250.78.4","192.168.1.4","QUIC","1292","Protected Payload (KP0)"
"138","6.380834863","142.250.78.4","192.168.1.4","QUIC","865","Protected Payload (KP0)"
"139","6.380834923","142.250.78.4","192.168.1.4","QUIC","183","Protected Payload (KP0)"
"140","6.380834983","142.250.78.4","192.168.1.4","QUIC","66","Protected Payload (KP0)"
"141","6.381302566","192.168.1.4","142.250.78.4","QUIC","120","Handshake, DCID=e9158bcdd421ce5e"
"142","6.381377657","192.168.1.4","142.250.78.4","QUIC","73","Protected Payload (KP0), DCID=e9158bcdd421ce5e"
"143","6.384363845","142.250.78.4","192.168.1.4","QUIC","72","Protected Payload (KP0)"
"144","6.384599896","192.168.1.4","142.250.78.4","QUIC","73","Protected Payload (KP0), DCID=e9158bcdd421ce5e"
"145","6.391949945","142.250.78.4","192.168.1.4","QUIC","162","Protected Payload (KP0)"
"146","6.396139411","192.168.1.4","142.250.78.150","TCP","66","50248  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3152536815 TSecr=4275190578"
"147","6.396164929","192.168.1.4","104.17.25.14","TCP","66","54270  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1696593127 TSecr=3666210631"
"148","6.396172633","192.168.1.4","142.250.78.142","TCP","66","44088  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2585282073 TSecr=788654183"
"149","6.396180367","192.168.1.4","172.217.172.10","TCP","66","42038  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1724107570 TSecr=2242183578"
"150","6.396182602","192.168.1.4","104.18.41.124","TCP","66","49094  >  443 [ACK] Seq=1 Ack=1 Win=955 Len=0 TSval=231641496 TSecr=3768348871"
"151","6.396184555","192.168.1.4","142.250.78.4","TCP","66","36978  >  443 [ACK] Seq=1 Ack=1 Win=1851 Len=0 TSval=2740431695 TSecr=2448275942"
"152","6.396186749","192.168.1.4","44.229.236.73","TCP","66","49748  >  443 [ACK] Seq=1 Ack=1 Win=14786 Len=0 TSval=2320009212 TSecr=3302792660"
"153","6.396188813","192.168.1.4","142.250.78.136","TCP","66","59850  >  443 [ACK] Seq=1 Ack=1 Win=1572 Len=0 TSval=636055728 TSecr=4130845628"
"154","6.396191849","192.168.1.4","142.250.78.66","TCP","66","50844  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2920067013 TSecr=2537264491"
"155","6.396197119","192.168.1.4","142.250.78.110","TCP","66","37630  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=508678821 TSecr=2574277718"
"156","6.396200004","192.168.1.4","104.16.112.209","TCP","66","40748  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2098420701 TSecr=2038418432"
"157","6.396202659","192.168.1.4","199.232.49.44","TCP","66","57406  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=464288194 TSecr=326466671"
"158","6.396205815","192.168.1.4","199.232.49.140","TCP","66","37186  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=234592703 TSecr=1703104827"
"159","6.396208320","192.168.1.4","199.232.49.44","TCP","66","57400  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=464288194 TSecr=2227474749"
"160","6.396210744","192.168.1.4","104.16.137.206","TCP","66","33112  >  443 [ACK] Seq=1 Ack=1 Win=2168 Len=0 TSval=2303613254 TSecr=3462428943"
"161","6.396213209","192.168.1.4","142.250.78.110","TCP","66","37634  >  443 [ACK] Seq=1 Ack=1 Win=7389 Len=0 TSval=508678821 TSecr=542289465"
"162","6.396216054","192.168.1.4","104.17.192.96","TCP","66","35310  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2945991079 TSecr=4284005378"
"163","6.396218579","192.168.1.4","45.60.162.169","TCP","66","48824  >  443 [ACK] Seq=1 Ack=1 Win=1514 Len=0 TSval=3538915643 TSecr=2569293880"
"164","6.396221444","192.168.1.4","104.18.160.125","TCP","66","50642  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=647720212 TSecr=2508509533"
"165","6.396225061","192.168.1.4","142.250.78.163","TCP","66","58258  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3494011555 TSecr=2045431885"
"166","6.396227485","192.168.1.4","35.186.194.58","TCP","66","44094  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1835029207 TSecr=1446662515"
"167","6.412033270","142.250.78.4","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  36978 [ACK] Seq=1 Ack=2 Win=276 Len=0 TSval=2448322014 TSecr=2740249024"
"168","6.412033521","142.250.78.142","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  44088 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=788700255 TSecr=2585099390"
"169","6.412033551","35.186.194.58","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  44094 [ACK] Seq=1 Ack=2 Win=2205 Len=0 TSval=1446708591 TSecr=1834937458"
"170","6.412033571","142.250.78.110","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  37630 [ACK] Seq=1 Ack=2 Win=268 Len=0 TSval=2574323790 TSecr=508495716"
"171","6.412033601","142.250.78.66","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  50844 [ACK] Seq=1 Ack=2 Win=269 Len=0 TSval=2537310563 TSecr=2919883970"
"172","6.413395124","172.217.172.10","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  42038 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=2242229654 TSecr=1723923062"
"173","6.413395425","142.250.78.150","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  50248 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=4275236654 TSecr=3152353770"
"174","6.413395455","142.250.78.136","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  59850 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=4130891700 TSecr=635872778"
"175","6.413395485","142.250.78.163","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  58258 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=2045477961 TSecr=3493828277"
"176","6.413395505","142.250.78.110","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  37634 [ACK] Seq=1 Ack=2 Win=273 Len=0 TSval=542335537 TSecr=508495310"
"177","6.413395535","104.18.41.124","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  49094 [ACK] Seq=1 Ack=2 Win=8 Len=0 TSval=3768394955 TSecr=231457928"
"178","6.417130331","192.168.1.4","142.250.78.4","QUIC","74","Protected Payload (KP0), DCID=e9158bcdd421ce5e"
"179","6.418622629","192.168.1.4","142.250.78.4","QUIC","158","Protected Payload (KP0), DCID=e9158bcdd421ce5e"
"180","6.427752192","45.60.162.169","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  48824 [ACK] Seq=1 Ack=2 Win=503 Len=0 TSval=2569339956 TSecr=3538732241"
"181","6.428549171","142.250.78.4","192.168.1.4","QUIC","67","Protected Payload (KP0)"
"182","6.428549492","142.250.78.4","192.168.1.4","QUIC","64","Protected Payload (KP0)"
"183","6.428549512","199.232.49.140","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  37186 [ACK] Seq=1 Ack=2 Win=292 Len=0 TSval=1703150899 TSecr=234315801"
"184","6.430746896","199.232.49.44","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  57406 [ACK] Seq=1 Ack=2 Win=288 Len=0 TSval=326512744 TSecr=464011877"
"185","6.430747157","199.232.49.44","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  57400 [ACK] Seq=1 Ack=2 Win=296 Len=0 TSval=2227520822 TSecr=464011839"
"186","6.448050669","192.168.1.4","142.250.78.4","QUIC","134","Protected Payload (KP0), DCID=e9158bcdd421ce5e"
"187","6.460745863","142.250.78.4","192.168.1.4","QUIC","69","Protected Payload (KP0)"
"188","6.472396486","104.16.112.209","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  40748 [ACK] Seq=1 Ack=2 Win=8 Len=0 TSval=2038464504 TSecr=2098236790"
"189","6.472396726","104.17.25.14","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  54270 [ACK] Seq=1 Ack=2 Win=8 Len=0 TSval=3666256707 TSecr=1696409176"
"190","6.472396746","104.16.137.206","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  33112 [ACK] Seq=1 Ack=2 Win=8 Len=0 TSval=3462475016 TSecr=2303429482"
"191","6.472396777","104.17.192.96","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  35310 [ACK] Seq=1 Ack=2 Win=8 Len=0 TSval=4284051454 TSecr=2945807312"
"192","6.473095452","104.18.160.125","192.168.1.4","TCP","66","[TCP ACKed unseen segment] 443  >  50642 [ACK] Seq=1 Ack=2 Win=8 Len=0 TSval=2508555609 TSecr=647536862"
"193","6.474366746","142.250.78.4","192.168.1.4","QUIC","1288","Protected Payload (KP0)"
"194","6.474366937","142.250.78.4","192.168.1.4","QUIC","299","Protected Payload (KP0)"
"195","6.474366957","142.250.78.4","192.168.1.4","QUIC","67","Protected Payload (KP0)"
"196","6.474366987","142.250.78.4","192.168.1.4","QUIC","244","Protected Payload (KP0)"
"197","6.474599040","192.168.1.4","142.250.78.4","QUIC","77","Protected Payload (KP0), DCID=e9158bcdd421ce5e"
"198","6.474643633","192.168.1.4","142.250.78.4","QUIC","73","Protected Payload (KP0), DCID=e9158bcdd421ce5e"
"199","6.486570923","142.250.78.4","192.168.1.4","QUIC","264","Protected Payload (KP0)"
"200","6.486571264","142.250.78.4","192.168.1.4","QUIC","139","Protected Payload (KP0)"
"201","6.486796354","192.168.1.4","142.250.78.4","QUIC","77","Protected Payload (KP0), DCID=e9158bcdd421ce5e"
"202","6.512576060","192.168.1.4","142.250.78.4","QUIC","74","Protected Payload (KP0), DCID=e9158bcdd421ce5e"
"203","6.524772472","142.250.78.4","192.168.1.4","QUIC","65","Protected Payload (KP0)"
